OMRÅDE;KØN;ALDER;TID;CIVILSTAND;INDHOLD
Hele landet;Mænd;98 år;2020K4;Fraskilt;9
Hele landet;Mænd;99 år;2020K4;Fraskilt;8
Hele landet;Mænd;100 år;2020K4;Fraskilt;0
Hele landet;Mænd;101 år;2020K4;Fraskilt;3
Hele landet;Mænd;102 år;2020K4;Fraskilt;0
Hele landet;Mænd;103 år;2020K4;Fraskilt;0
Hele landet;Mænd;104 år;2020K4;Fraskilt;1
Hele landet;Mænd;105 år;2020K4;Fraskilt;0
Hele landet;Mænd;106 år;2020K4;Fraskilt;0
Hele landet;Mænd;107 år;2020K4;Fraskilt;0
Hele landet;Mænd;108 år;2020K4;Fraskilt;0
Hele landet;Mænd;109 år;2020K4;Fraskilt;0
Hele landet;Mænd;110 år;2020K4;Fraskilt;0
Hele landet;Mænd;111 år;2020K4;Fraskilt;0
Hele landet;Mænd;112 år;2020K4;Fraskilt;0
Hele landet;Mænd;113 år;2020K4;Fraskilt;0
Hele landet;Mænd;114 år;2020K4;Fraskilt;0
Hele landet;Mænd;115 år;2020K4;Fraskilt;0
Hele landet;Mænd;116 år;2020K4;Fraskilt;0
Hele landet;Mænd;117 år;2020K4;Fraskilt;0
Hele landet;Mænd;118 år;2020K4;Fraskilt;0
Hele landet;Mænd;119 år;2020K4;Fraskilt;0
Hele landet;Mænd;120 år;2020K4;Fraskilt;0
Hele landet;Mænd;121 år;2020K4;Fraskilt;0
Hele landet;Mænd;122 år;2020K4;Fraskilt;0
Hele landet;Mænd;123 år;2020K4;Fraskilt;0
Hele landet;Mænd;124 år;2020K4;Fraskilt;0
Hele landet;Mænd;125 år;2020K4;Fraskilt;0
Hele landet;Kvinder;I alt;2020K4;Fraskilt;312735
Hele landet;Kvinder;0 år;2020K4;Fraskilt;0
Hele landet;Kvinder;1 år;2020K4;Fraskilt;0
Hele landet;Kvinder;2 år;2020K4;Fraskilt;0
Hele landet;Kvinder;3 år;2020K4;Fraskilt;0
Hele landet;Kvinder;4 år;2020K4;Fraskilt;0
Hele landet;Kvinder;5 år;2020K4;Fraskilt;0
Hele landet;Kvinder;6 år;2020K4;Fraskilt;0
Hele landet;Kvinder;7 år;2020K4;Fraskilt;0
Hele landet;Kvinder;8 år;2020K4;Fraskilt;0
Hele landet;Kvinder;9 år;2020K4;Fraskilt;0
Hele landet;Kvinder;10 år;2020K4;Fraskilt;0
Hele landet;Kvinder;11 år;2020K4;Fraskilt;0
Hele landet;Kvinder;12 år;2020K4;Fraskilt;0
Hele landet;Kvinder;13 år;2020K4;Fraskilt;0
Hele landet;Kvinder;14 år;2020K4;Fraskilt;0
Hele landet;Kvinder;15 år;2020K4;Fraskilt;0
Hele landet;Kvinder;16 år;2020K4;Fraskilt;0
Hele landet;Kvinder;17 år;2020K4;Fraskilt;0
Hele landet;Kvinder;18 år;2020K4;Fraskilt;0
Hele landet;Kvinder;19 år;2020K4;Fraskilt;7
Hele landet;Kvinder;20 år;2020K4;Fraskilt;14
Hele landet;Kvinder;21 år;2020K4;Fraskilt;24
Hele landet;Kvinder;22 år;2020K4;Fraskilt;61
Hele landet;Kvinder;23 år;2020K4;Fraskilt;130
Hele landet;Kvinder;24 år;2020K4;Fraskilt;210
Hele landet;Kvinder;25 år;2020K4;Fraskilt;279
Hele landet;Kvinder;26 år;2020K4;Fraskilt;411
Hele landet;Kvinder;27 år;2020K4;Fraskilt;591
Hele landet;Kvinder;28 år;2020K4;Fraskilt;738
Hele landet;Kvinder;29 år;2020K4;Fraskilt;931
Hele landet;Kvinder;30 år;2020K4;Fraskilt;1136
Hele landet;Kvinder;31 år;2020K4;Fraskilt;1392
Hele landet;Kvinder;32 år;2020K4;Fraskilt;1651
Hele landet;Kvinder;33 år;2020K4;Fraskilt;1931
Hele landet;Kvinder;34 år;2020K4;Fraskilt;2117
Hele landet;Kvinder;35 år;2020K4;Fraskilt;2422
Hele landet;Kvinder;36 år;2020K4;Fraskilt;2702
Hele landet;Kvinder;37 år;2020K4;Fraskilt;3027
Hele landet;Kvinder;38 år;2020K4;Fraskilt;3494
Hele landet;Kvinder;39 år;2020K4;Fraskilt;3831
Hele landet;Kvinder;40 år;2020K4;Fraskilt;4510
Hele landet;Kvinder;41 år;2020K4;Fraskilt;4800
Hele landet;Kvinder;42 år;2020K4;Fraskilt;5619
Hele landet;Kvinder;43 år;2020K4;Fraskilt;5665
Hele landet;Kvinder;44 år;2020K4;Fraskilt;6704
Hele landet;Kvinder;45 år;2020K4;Fraskilt;7256
Hele landet;Kvinder;46 år;2020K4;Fraskilt;7435
Hele landet;Kvinder;47 år;2020K4;Fraskilt;7798
Hele landet;Kvinder;48 år;2020K4;Fraskilt;8492
Hele landet;Kvinder;49 år;2020K4;Fraskilt;8145
Hele landet;Kvinder;50 år;2020K4;Fraskilt;8104
Hele landet;Kvinder;51 år;2020K4;Fraskilt;8184
Hele landet;Kvinder;52 år;2020K4;Fraskilt;8801
Hele landet;Kvinder;53 år;2020K4;Fraskilt;9465
Hele landet;Kvinder;54 år;2020K4;Fraskilt;9658
Hele landet;Kvinder;55 år;2020K4;Fraskilt;9407
Hele landet;Kvinder;56 år;2020K4;Fraskilt;9000
Hele landet;Kvinder;57 år;2020K4;Fraskilt;8547
Hele landet;Kvinder;58 år;2020K4;Fraskilt;8107
Hele landet;Kvinder;59 år;2020K4;Fraskilt;7634
Hele landet;Kvinder;60 år;2020K4;Fraskilt;7329
Hele landet;Kvinder;61 år;2020K4;Fraskilt;6843
Hele landet;Kvinder;62 år;2020K4;Fraskilt;6609
Hele landet;Kvinder;63 år;2020K4;Fraskilt;6500
Hele landet;Kvinder;64 år;2020K4;Fraskilt;6383
Hele landet;Kvinder;65 år;2020K4;Fraskilt;6256
Hele landet;Kvinder;66 år;2020K4;Fraskilt;6117
Hele landet;Kvinder;67 år;2020K4;Fraskilt;6151
Hele landet;Kvinder;68 år;2020K4;Fraskilt;5660
Hele landet;Kvinder;69 år;2020K4;Fraskilt;5685
Hele landet;Kvinder;70 år;2020K4;Fraskilt;5731
Hele landet;Kvinder;71 år;2020K4;Fraskilt;5584
Hele landet;Kvinder;72 år;2020K4;Fraskilt;5618
Hele landet;Kvinder;73 år;2020K4;Fraskilt;5952
Hele landet;Kvinder;74 år;2020K4;Fraskilt;5788
Hele landet;Kvinder;75 år;2020K4;Fraskilt;5253
Hele landet;Kvinder;76 år;2020K4;Fraskilt;4760
Hele landet;Kvinder;77 år;2020K4;Fraskilt;4315
Hele landet;Kvinder;78 år;2020K4;Fraskilt;3790
Hele landet;Kvinder;79 år;2020K4;Fraskilt;3236
Hele landet;Kvinder;80 år;2020K4;Fraskilt;2868
Hele landet;Kvinder;81 år;2020K4;Fraskilt;2647
Hele landet;Kvinder;82 år;2020K4;Fraskilt;2252
Hele landet;Kvinder;83 år;2020K4;Fraskilt;1957
Hele landet;Kvinder;84 år;2020K4;Fraskilt;1598
Hele landet;Kvinder;85 år;2020K4;Fraskilt;1421
Hele landet;Kvinder;86 år;2020K4;Fraskilt;1192
Hele landet;Kvinder;87 år;2020K4;Fraskilt;978
Hele landet;Kvinder;88 år;2020K4;Fraskilt;783
Hele landet;Kvinder;89 år;2020K4;Fraskilt;664
Hele landet;Kvinder;90 år;2020K4;Fraskilt;510
Hele landet;Kvinder;91 år;2020K4;Fraskilt;449
Hele landet;Kvinder;92 år;2020K4;Fraskilt;359
Hele landet;Kvinder;93 år;2020K4;Fraskilt;297
Hele landet;Kvinder;94 år;2020K4;Fraskilt;220
Hele landet;Kvinder;95 år;2020K4;Fraskilt;176
Hele landet;Kvinder;96 år;2020K4;Fraskilt;130
Hele landet;Kvinder;97 år;2020K4;Fraskilt;89
Hele landet;Kvinder;98 år;2020K4;Fraskilt;57
Hele landet;Kvinder;99 år;2020K4;Fraskilt;35
Hele landet;Kvinder;100 år;2020K4;Fraskilt;29
Hele landet;Kvinder;101 år;2020K4;Fraskilt;16
Hele landet;Kvinder;102 år;2020K4;Fraskilt;7
Hele landet;Kvinder;103 år;2020K4;Fraskilt;5
Hele landet;Kvinder;104 år;2020K4;Fraskilt;4
Hele landet;Kvinder;105 år;2020K4;Fraskilt;1
Hele landet;Kvinder;106 år;2020K4;Fraskilt;1
Hele landet;Kvinder;107 år;2020K4;Fraskilt;0
Hele landet;Kvinder;108 år;2020K4;Fraskilt;0
Hele landet;Kvinder;109 år;2020K4;Fraskilt;0
Hele landet;Kvinder;110 år;2020K4;Fraskilt;0
Hele landet;Kvinder;111 år;2020K4;Fraskilt;0
Hele landet;Kvinder;112 år;2020K4;Fraskilt;0
Hele landet;Kvinder;113 år;2020K4;Fraskilt;0
Hele landet;Kvinder;114 år;2020K4;Fraskilt;0
Hele landet;Kvinder;115 år;2020K4;Fraskilt;0
Hele landet;Kvinder;116 år;2020K4;Fraskilt;0
Hele landet;Kvinder;117 år;2020K4;Fraskilt;0
Hele landet;Kvinder;118 år;2020K4;Fraskilt;0
Hele landet;Kvinder;119 år;2020K4;Fraskilt;0
Hele landet;Kvinder;120 år;2020K4;Fraskilt;0
Hele landet;Kvinder;121 år;2020K4;Fraskilt;0
Hele landet;Kvinder;122 år;2020K4;Fraskilt;0
Hele landet;Kvinder;123 år;2020K4;Fraskilt;0
Hele landet;Kvinder;124 år;2020K4;Fraskilt;0
Hele landet;Kvinder;125 år;2020K4;Fraskilt;0
