OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
Hele landet;Kvinder;8 år;Fraskilt;2008K1;0
Hele landet;Kvinder;9 år;Fraskilt;2008K1;0
Hele landet;Kvinder;10 år;Fraskilt;2008K1;0
Hele landet;Kvinder;11 år;Fraskilt;2008K1;0
Hele landet;Kvinder;12 år;Fraskilt;2008K1;0
Hele landet;Kvinder;13 år;Fraskilt;2008K1;0
Hele landet;Kvinder;14 år;Fraskilt;2008K1;0
Hele landet;Kvinder;15 år;Fraskilt;2008K1;0
Hele landet;Kvinder;16 år;Fraskilt;2008K1;0
Hele landet;Kvinder;17 år;Fraskilt;2008K1;0
Hele landet;Kvinder;18 år;Fraskilt;2008K1;0
Hele landet;Kvinder;19 år;Fraskilt;2008K1;3
Hele landet;Kvinder;20 år;Fraskilt;2008K1;11
Hele landet;Kvinder;21 år;Fraskilt;2008K1;29
Hele landet;Kvinder;22 år;Fraskilt;2008K1;68
Hele landet;Kvinder;23 år;Fraskilt;2008K1;99
Hele landet;Kvinder;24 år;Fraskilt;2008K1;184
Hele landet;Kvinder;25 år;Fraskilt;2008K1;316
Hele landet;Kvinder;26 år;Fraskilt;2008K1;456
Hele landet;Kvinder;27 år;Fraskilt;2008K1;663
Hele landet;Kvinder;28 år;Fraskilt;2008K1;912
Hele landet;Kvinder;29 år;Fraskilt;2008K1;1185
Hele landet;Kvinder;30 år;Fraskilt;2008K1;1424
Hele landet;Kvinder;31 år;Fraskilt;2008K1;1733
Hele landet;Kvinder;32 år;Fraskilt;2008K1;2144
Hele landet;Kvinder;33 år;Fraskilt;2008K1;2462
Hele landet;Kvinder;34 år;Fraskilt;2008K1;2879
Hele landet;Kvinder;35 år;Fraskilt;2008K1;3439
Hele landet;Kvinder;36 år;Fraskilt;2008K1;3621
Hele landet;Kvinder;37 år;Fraskilt;2008K1;3799
Hele landet;Kvinder;38 år;Fraskilt;2008K1;4170
Hele landet;Kvinder;39 år;Fraskilt;2008K1;4707
Hele landet;Kvinder;40 år;Fraskilt;2008K1;5179
Hele landet;Kvinder;41 år;Fraskilt;2008K1;6086
Hele landet;Kvinder;42 år;Fraskilt;2008K1;5927
Hele landet;Kvinder;43 år;Fraskilt;2008K1;6297
Hele landet;Kvinder;44 år;Fraskilt;2008K1;6127
Hele landet;Kvinder;45 år;Fraskilt;2008K1;6127
Hele landet;Kvinder;46 år;Fraskilt;2008K1;5981
Hele landet;Kvinder;47 år;Fraskilt;2008K1;6085
Hele landet;Kvinder;48 år;Fraskilt;2008K1;5945
Hele landet;Kvinder;49 år;Fraskilt;2008K1;5775
Hele landet;Kvinder;50 år;Fraskilt;2008K1;5937
Hele landet;Kvinder;51 år;Fraskilt;2008K1;6042
Hele landet;Kvinder;52 år;Fraskilt;2008K1;6009
Hele landet;Kvinder;53 år;Fraskilt;2008K1;6003
Hele landet;Kvinder;54 år;Fraskilt;2008K1;6156
Hele landet;Kvinder;55 år;Fraskilt;2008K1;5974
Hele landet;Kvinder;56 år;Fraskilt;2008K1;5931
Hele landet;Kvinder;57 år;Fraskilt;2008K1;6329
Hele landet;Kvinder;58 år;Fraskilt;2008K1;6255
Hele landet;Kvinder;59 år;Fraskilt;2008K1;6452
Hele landet;Kvinder;60 år;Fraskilt;2008K1;6794
Hele landet;Kvinder;61 år;Fraskilt;2008K1;6920
Hele landet;Kvinder;62 år;Fraskilt;2008K1;6611
Hele landet;Kvinder;63 år;Fraskilt;2008K1;6185
Hele landet;Kvinder;64 år;Fraskilt;2008K1;5693
Hele landet;Kvinder;65 år;Fraskilt;2008K1;5200
Hele landet;Kvinder;66 år;Fraskilt;2008K1;4480
Hele landet;Kvinder;67 år;Fraskilt;2008K1;4238
Hele landet;Kvinder;68 år;Fraskilt;2008K1;3872
Hele landet;Kvinder;69 år;Fraskilt;2008K1;3629
Hele landet;Kvinder;70 år;Fraskilt;2008K1;3396
Hele landet;Kvinder;71 år;Fraskilt;2008K1;3020
Hele landet;Kvinder;72 år;Fraskilt;2008K1;2734
Hele landet;Kvinder;73 år;Fraskilt;2008K1;2523
Hele landet;Kvinder;74 år;Fraskilt;2008K1;2281
Hele landet;Kvinder;75 år;Fraskilt;2008K1;2055
Hele landet;Kvinder;76 år;Fraskilt;2008K1;1900
Hele landet;Kvinder;77 år;Fraskilt;2008K1;1718
Hele landet;Kvinder;78 år;Fraskilt;2008K1;1652
Hele landet;Kvinder;79 år;Fraskilt;2008K1;1522
Hele landet;Kvinder;80 år;Fraskilt;2008K1;1408
Hele landet;Kvinder;81 år;Fraskilt;2008K1;1272
Hele landet;Kvinder;82 år;Fraskilt;2008K1;1182
Hele landet;Kvinder;83 år;Fraskilt;2008K1;1072
Hele landet;Kvinder;84 år;Fraskilt;2008K1;988
Hele landet;Kvinder;85 år;Fraskilt;2008K1;885
Hele landet;Kvinder;86 år;Fraskilt;2008K1;808
Hele landet;Kvinder;87 år;Fraskilt;2008K1;707
Hele landet;Kvinder;88 år;Fraskilt;2008K1;521
Hele landet;Kvinder;89 år;Fraskilt;2008K1;484
Hele landet;Kvinder;90 år;Fraskilt;2008K1;367
Hele landet;Kvinder;91 år;Fraskilt;2008K1;320
Hele landet;Kvinder;92 år;Fraskilt;2008K1;250
Hele landet;Kvinder;93 år;Fraskilt;2008K1;214
Hele landet;Kvinder;94 år;Fraskilt;2008K1;143
Hele landet;Kvinder;95 år;Fraskilt;2008K1;116
Hele landet;Kvinder;96 år;Fraskilt;2008K1;59
Hele landet;Kvinder;97 år;Fraskilt;2008K1;59
Hele landet;Kvinder;98 år;Fraskilt;2008K1;44
Hele landet;Kvinder;99 år;Fraskilt;2008K1;24
Hele landet;Kvinder;100 år;Fraskilt;2008K1;17
Hele landet;Kvinder;101 år;Fraskilt;2008K1;9
Hele landet;Kvinder;102 år;Fraskilt;2008K1;1
Hele landet;Kvinder;103 år;Fraskilt;2008K1;2
Hele landet;Kvinder;104 år;Fraskilt;2008K1;2
Hele landet;Kvinder;105 år;Fraskilt;2008K1;0
Hele landet;Kvinder;106 år;Fraskilt;2008K1;0
